,Country,Year,% Plastic in waste stream4,Plastic pollution by year,Value_x,Value_y,plastic pollution per millions of people
300,Korea,2013,26.849999999999994,678.4994999999999,7581.0,50.428893,13.454578509189163
301,Korea,2014,26.849999999999994,688.1654999999998,7689.0,50.746659,13.560804071850322
302,Korea,2015,26.849999999999994,702.6644999999999,7851.0,51.014947,13.773698520161158
303,Korea,2016,26.849999999999994,731.3044999999998,8171.0,51.217803,14.278326229651041
304,Korea,2017,26.849999999999994,697.9020259999998,7797.7880000000005,51.361911,13.58792950675063
305,Korea,2018,26.849999999999994,622.1765234999998,6951.692999999999,51.606633,12.05613478988253
306,Mexico,2000,13.900000000000004,2085.6081250000007,30008.75,98.785275,21.11254055829678
307,Mexico,2001,13.900000000000004,2136.8810550000007,30746.489999999998,100.105299,21.34633307473564
308,Mexico,2002,13.900000000000004,2181.823230000001,31393.14,101.493987,21.49706888547004
309,Mexico,2003,13.900000000000004,2230.609450000001,32095.1,102.890474,21.679455476121152
310,Mexico,2004,13.900000000000004,2342.6601300000007,33707.34,104.272444,22.466723135404795
311,Mexico,2005,13.900000000000004,2380.7225000000008,34255.0,105.669369,22.529920662249822
312,Mexico,2006,13.900000000000004,2429.6480675000003,34958.965,107.155391,22.674062824333312
313,Mexico,2007,13.900000000000004,2478.5646000000006,35662.8,108.744845,22.7924790365925
314,Mexico,2008,13.900000000000004,2519.2499000000007,36248.2,110.405454,22.818165305492975
315,Mexico,2009,13.900000000000004,2559.337500000001,36825.0,112.095388,22.831782338805954
316,Mexico,2010,13.900000000000004,2666.282918500001,38363.782999999996,113.748671,23.44012369603862
317,Mexico,2011,13.900000000000004,2716.232360000001,39082.479999999996,115.367452,23.544182634804148
318,Mexico,2012,13.900000000000004,2780.2082220000007,40002.996,116.93567,23.77553591645732
319,Netherlands,2000,59.85000000000002,1384.5300000000007,6940.0,15.925505,86.93790244014245
320,Netherlands,2001,59.85000000000002,1425.0285000000003,7143.0,16.046182,88.80794820848973
321,Netherlands,2002,59.85000000000002,1406.4750000000004,7050.0,16.148921,87.09405414764245
322,Netherlands,2003,59.85000000000002,1324.6800000000003,6640.0,16.225303,81.64285129220701
323,Netherlands,2004,59.85000000000002,1340.8395000000005,6721.0,16.281777,82.35215971819295
324,Netherlands,2005,59.85000000000002,1350.2160000000003,6768.0,16.319871,82.73447749678907
325,Netherlands,2006,59.85000000000002,1344.2310000000002,6738.0,16.346096,82.23559925256772
326,Netherlands,2007,59.85000000000002,1343.2335000000007,6733.0,16.381696,81.99599723984626
327,Netherlands,2008,59.85000000000002,1826.4225000000006,9155.0,16.44559,111.05849653311317
328,Netherlands,2009,59.85000000000002,1779.3405000000005,8919.0,16.530387,107.6405833692823
329,Netherlands,2010,59.85000000000002,1327.2735000000005,6653.0,16.61539,79.88217550114685
330,Netherlands,2011,59.85000000000002,1107.4245000000005,5551.0,16.693074,66.34035768367171
331,Netherlands,2012,59.85000000000002,950.2185000000003,4763.0,16.754963,56.71265881040742
332,Netherlands,2013,59.85000000000002,905.3310000000002,4538.0,16.80443,53.87454379589193
333,Netherlands,2014,59.85000000000002,890.3685000000003,4463.0,16.865008,52.793837986913516
334,Netherlands,2015,59.85000000000002,871.8150000000003,4370.0,16.939925,51.46510388918489
335,Netherlands,2016,59.85000000000002,840.8925000000004,4215.0,17.030314,49.376218195389725
336,Netherlands,2017,59.85000000000002,815.5560000000003,4088.0,17.131295,47.606208403976474
337,Netherlands,2018,59.85000000000002,793.6110000000002,3978.0,17.231622,46.05550191386511
338,Netherlands,2019,39.90000000000001,43.690500000000014,219.0,17.344876,2.518928356708922
339,New Zealand,2002,8.949999999999998,270.46899999999994,3022.0,3.9485,68.49917690262123
340,New Zealand,2003,8.949999999999998,275.2124999999999,3075.0,4.0272,68.33842371871273
341,New Zealand,2004,8.949999999999998,285.14699999999993,3186.0,4.0875,69.76073394495411
342,New Zealand,2006,8.949999999999998,282.46199999999993,3156.0,4.1846,67.50035845720019
343,New Zealand,2010,8.949999999999998,226.61399999999995,2532.0,4.3507,52.08679063139264
